ResponseId,sample_1,weight_complete_only,weight_complete_partials,Finished,Enter,YearsWorked,NTEE_1,NTEE_2,NTEE_3,NTEE_4,NTEE_5,NTEE_6,NTEE_7,NTEE_8,NTEE_9,NTEE_10,NTEE_11,NTEE_12,NTEE_13,NTEE_14,NTEE_15,NTEE_16,NTEE_17,NTEE_18,NTEE_19,NTEE_20,NTEE_21,NTEE_22,NTEE_23,NTEE_24,NTEE_25,NTEE_26,NTEEconf,GeoAreas_1,GeoAreas_2,GeoAreas_3,GeoAreas_4,GeoAreas_5,GeoAreas_6,GeoAreas_7,GeoAreas_8,GeoAreas_9,RuralUrban_1,RuralUrban_2,RuralUrban_3,RuralUrban_4,ProgDem_1,ProgDem_2,ProgDem_3,ProgDem_4,ProgDem_5,ProgDem_6,ProgDem_7,ProgDem_8,ProgDem_9,ProgDem_10,ProgDem_11,ProgDem_12,ProgDem_13,ProgDem_14,ProgDem_15,ProgDem_16,ProgDem_17,ProgDem_18,ProgDem_19,ProgDem_20,ProgDem_21,PeopleServed_1_1_1,PeopleServed_1_2_1,PeopleServed_2_1_1,PeopleServed_2_2_1,PeopleServed_3_1_1,PeopleServed_3_2_1,MeetDemand,ProgLocations_1,ProgLocations_2,NLocations,LocChanges,Staff_1_1_1,Staff_1_2_1,Staff_1_3_1,Staff_1_4_1,Staff_1_5_1,Staff_1_6_1,Staff_1_7_1,Staff_2_1_1,Staff_2_2_1,Staff_2_3_1,Staff_2_4_1,Staff_2_5_1,Staff_2_6_1,Staff_2_7_1,Staff_3_1_1,Staff_3_2_1,Staff_3_3_1,Staff_3_4_1,Staff_3_5_1,Staff_3_6_1,Staff_3_7_1,Staff_4_1_1,Staff_4_2_1,Staff_4_3_1,Staff_4_4_1,Staff_4_5_1,Staff_4_6_1,Staff_4_7_1,VolImportance,DonImportance,FRpercents_1,FRpercents_2,FRmajgift_1,FRchanges_1_1,FRchanges_1_2,FRchanges_1_3,FRchanges_1_4,FRchanges_1_5,FRchanges_1_6,FRchanges_1_7,FRchanges_1_8,FRchanges_1_9,FRchanges_1_10,FRchanges_1_11,FRchanges_1_12,FRchanges_2_1,FRchanges_2_2,FRchanges_2_3,FRchanges_2_4,FRchanges_2_5,FRchanges_2_6,FRchanges_2_7,FRchanges_2_8,FRchanges_2_9,FRchanges_2_10,FRchanges_2_11,FRchanges_2_12,FY,Funding1_1_1_1,Funding1_1_2_1,Funding1_1_3_1,Funding1_1_4_1,Funding1_1_5_1,Funding1_1_6_1,Funding1_1_7_1,Funding1_1_8_1,Funding1_1_9_1,Funding1_1_10_1,Funding1_2_1_1,Funding1_2_2_1,Funding1_2_3_1,Funding1_2_4_1,Funding1_2_5_1,Funding1_2_6_1,Funding1_2_7_1,Funding1_2_8_1,Funding1_2_9_1,Funding1_2_10_1,Funding2_1_1_1,Funding2_1_2_1,Funding2_1_3_1,Funding2_1_4_1,Funding2_1_5_1,Funding2_1_6_1,Funding2_1_7_1,Funding2_1_8_1,Funding2_1_9_1,Funding2_1_10_1,Funding2_1_11_1,Funding2_1_12_1,Funding2_1_13_1,Funding2_1_14_1,Finances_1_1_1,Finances_1_2_1,Finances_1_3_1,Finances_1_4_1,Finances_1_5_1,Finances_1_6_1,Finances_1_7_1,Finances_1_8_1,Finances_2_1_1,Finances_2_2_1,Finances_2_3_1,Finances_2_4_1,Finances_2_5_1,Finances_2_6_1,Finances_2_7_1,Finances_2_8_1,Finances_3_1_1,Finances_3_2_1,Finances_3_3_1,Finances_3_4_1,Finances_3_5_1,Finances_3_6_1,Finances_3_7_1,Finances_3_8_1,Finances_4_1_1,Finances_4_2_1,Finances_4_3_1,Finances_4_4_1,Finances_4_5_1,Finances_4_6_1,Finances_4_7_1,Finances_4_8_1,CEOrace,CEOgender,BCrace,BCgender,CEOBCdem_1_1,CEOBCdem_1_2,CEOBCdem_2_1,CEOBCdem_2_2,CEOBCdem_3_1,CEOBCdem_3_2,BoardStaffDEM_1_1,BoardStaffDEM_1_2,BoardStaffDEM_1_3,BoardStaffDEM_1_4,BoardStaffDEM_1_5,BoardStaffDEM_1_6,BoardStaffDEM_1_7,BoardStaffDEM_2_1,BoardStaffDEM_2_2,BoardStaffDEM_2_3,BoardStaffDEM_2_4,BoardStaffDEM_2_5,BoardStaffDEM_2_6,BoardStaffDEM_2_7,DemChange,Reserves_1_1_1,Reserves_2_1_1,Reserves_3_1_1,PPP2020,PPP2020b_1_1_1,PPP2020b_2_1_1,PPP2020b_3_1_1,PPP2021,PPP2021b_1,FinanceChanges_1,FinanceChanges_2,FinanceChanges_3,FinanceChanges_4,FinanceChanges_5,FinanceChanges_6,FinanceChanges_7,ProgChanges_1,ProgChanges_2,ProgChanges_3,ProgChanges_4,ProgChanges_5,ProgChanges_6,ProgChanges_7,ProgChanges_8,ProgChanges_9,ProgChanges_10,ProgChanges_11,ProgChanges_12,FRchanges_1,FRchanges_2,FRchanges_3,FRchanges_4,Drawing,PeopleServed_3_1,PeopleServed_3_2,Staff_4_1,Staff_4_2,Staff_4_3,Staff_4_4,Staff_4_5,Staff_4_6,Staff_4_7,Reserves_3_1,StaffChanges_1,StaffChanges_2,StaffChanges_3,StaffChanges_4,StaffChanges_5,StaffChanges_6,StaffChanges_7,StaffChanges_8,StaffChanges_9,StaffChanges_10,OpsChanges_1,OpsChanges_2,OpsChanges_3,OpsChanges_4,OpsChanges_5,OpsChanges_6,Assistance_1,Assistance_2,Assistance_3,Assistance_4,Assistance_5,Assistance_6,Assistance_7,Assistance_8,StaffChanges21_1,StaffChanges21_2,StaffChanges21_3,StaffChanges21_4,StaffChanges21_5,StaffChanges21_6,StaffChanges21_7,StaffChanges21_8,StaffChanges21_98,ExtAffairs_1_1,ExtAffairs_1_2,ExtAffairs_1_3,ExtAffairs_1_4,ExtAffairs_1_5,ExtAffairs_1_6,ExtAffairs_1_7,ExtAffairs_1_8,ExtAffairs_1_9,ExtAffairs_1_10,ExtAffairs_1_11,ExtAffairs_1_12,ExtAffairs_2_1,ExtAffairs_2_2,ExtAffairs_2_3,ExtAffairs_2_4,ExtAffairs_2_5,ExtAffairs_2_6,ExtAffairs_2_7,ExtAffairs_2_8,ExtAffairs_2_9,ExtAffairs_2_10,ExtAffairs_2_11,ExtAffairs_2_12,FullyComplete,lastsection,SizeStrata,SizeStrata1,SizeStrata2,SizeStrata3,SizeStrata4,SizeStrata5,CensusRegion9,CensusRegion4,ntmaj5,subsector,sector1,sector2,sector3,sector4,sector5,MAV_zip_rural,MAV_ziptostate_medHHinc,MAV_ziptostate_LOWinc,mav_ziptostate_medlowinc,MAV_ziptostate_MEDHIGHinc,MAV_ziptostate_HIGHinc,MAV_ziptostate_categories,mainORprog_zip_rural,MAV_Urban_Rural_Oth_NCHS_FORHP,MAV_UrbRurOthNCHSFORHP_UrbanCore,MAV_UrbRurOthNCHSFORHP_NonUrbanC,MAV_UrbRurOthNCHSFORHP_Rural,MAV_Urban_Rural_Oth_cat,mainORprog_ziptostate_LOWinc
R_1jvNJE08p5PyAnv,1,0.9258040231,0.8981947654,1,1,3,-99,-99,-99,-99,-99,1,-99,-99,1,-99,-99,-99,-99,-99,1,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,0,-99,1,1,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,2,1,2,2,-99,0,2,1,0,1,1,0,2,1,2,1,1,2,2,-99,-99,511,50,450,123,,,1,1,-99,,1,22,0,9,9,0,5,-99,14,2,9,9,0,3,-99,11,0,9,9,0,2,-99,,,,,,,,5,3,25,25,500,5,3,3,1,99,3,3,99,3,3,3,4,1,3,3,1,99,3,3,99,3,3,4,2,7,1,1,-99,-99,-99,-99,1,1,1,-99,1,-99,-99,1,-99,-99,1,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,911136.97707,-99,-99,5065.8523171,-99,172206.9687,-99,-99,810750.73549,-99,-99,3082.1880943,-99,150662.82476,-99,-99,59732.271246,-99,-99,1977.3828769,-99,9980.1296975,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,1,2,1,0,0,1,0,4,4,9,3,98,98,1,1,1,12,3,98,7,1,2,2,0,125005.58327,74561.402951,,1,151888.65979,152008.75758,14,1,159364.88646,0,0,0,0,1,0,99,0,1,1,0,1,1,0,99,99,1,1,-99,0,0,0,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,0,0,1,1,0,0,0,0,-99,0,0,0,0,1,-99,1,1,1,0,0,1,1,-99,1,-99,-99,-99,1,-99,-99,-99,-99,5,5,5,5,5,5,1,1,1,3,1,5,5,5,5,4,5,5,1,1,1,3,1,5,1,,"$1 million-$9,999,999",0,0,0,1,0,9: Pacific,4: West,HU,HU,0,0,0,1,0,0,0.541795373,1,0,0,0,1,0,"1-Urban Core, Non-Rural",1,0,0,"1-Urban Core, Non-Rural",1
R_3nMdDKJUVpUGeWi,0,0,1.0682084673,0,1,6,-99,1,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,1,2,0,0,0,1,1,-99,-99,2,1,-99,-99,-99,-99,1,1,-99,-99,-99,-99,500,-99,400,-99,-99,1,1,-99,1,2,1,6,3,50,300,5,1,-99,6,3,50,500,5,0,-99,5,3,35,500,4,0,-99,-99,-99,-99,-99,-99,-99,-99,3,2,75,25,500,4,4,4,4,4,4,98,99,4,4,4,2,5,5,4,5,5,5,1,99,5,5,5,1,8,1,-99,1,-99,-99,-99,1,1,1,1,1,-99,1,-99,-99,-99,1,1,1,1,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,1,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,"$100,000-$499,999",0,1,0,0,0,5: South Atlantic,3: South,HU,HU,0,0,0,1,0,0,1.5292600393,0,0,0,1,4,0,"1-Urban Core, Non-Rural",1,0,0,"1-Urban Core, Non-Rural",0
R_3ReImbaz1pjjbjs,0,0,0.9486890865,0,1,11,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,1,-99,-99,-99,-99,-99,-99,-99,1,1,1,-99,-99,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,-99,60,3,40,3,-99,-99,98,1,-99,,0,-99,6,3,-99,-99,-99,-99,-99,6,4,-99,-99,-99,-99,-99,6,4,-99,-99,-99,-99,1,-99,-99,1,1,1,-99,3,3,90,10,100,4,3,3,5,3,3,99,99,3,3,3,99,4,2,3,1,2,3,99,99,4,3,3,99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,1,1,1,1,1,1,1,1,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,30645.973588,-99,122302.29155,497.93266272,-99,-99,-99,-99,25022.928059,-99,119009.57221,585.46490202,-99,-99,-99,-99,29424.593119,-99,126838.51054,602.54028205,-99,-99,-99,1,-99,1,-99,-99,1,1,1,5,2,5,2,0,0,0,0,7,7,1,8,1,1,1,1,1,3,12,1,1,5,6,3,0,-99,-99,0.9909667969,0,,,,0,,1,0,0,0,98,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,"$100,000-$499,999",0,1,0,0,0,9: Pacific,4: West,OT,OT,0,0,0,0,1,0,0.6173555255,0,1,0,0,2,0,"2-Non-Urban Core, Non-Rural",0,1,0,"2-Non-Urban Core, Non-Rural",0
R_4TNFPt5EF6E8Qg1,0,0,0.8448241658,0,1,4,-99,1,-99,-99,-99,-99,-99,-99,-99,1,-99,1,-99,-99,1,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,1,-99,-99,1,1,2,0,0,2,2,2,0,2,2,2,-99,-99,0,2,2,0,0,0,-99,65,-99,150,-99,-99,1,1,1,1,1,0,10,4,20,-99,-99,3,-99,10,2,30,-99,-99,6,-99,18,2,40,30,-99,3,-99,-99,-99,-99,-99,1,-99,-99,2,2,30,70,1,3,2,3,3,3,-99,3,99,99,99,2,4,5,5,4,3,2,-99,2,99,99,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,"$500,000-$999,999",0,0,1,0,0,9: Pacific,4: West,HU,HU,0,0,0,1,0,0,0.7456056476,0,1,0,0,2,0,"1-Urban Core, Non-Rural",1,0,0,"1-Urban Core, Non-Rural",0
R_2COZo2tn3UKpVAh,1,0.9258040231,0.8981947654,1,1,10,-99,1,1,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,1,-99,-99,1,1,-99,-99,-99,-99,1,-99,-99,1,99,99,99,-99,-99,1,-99,-99,1,1,-99,1,-99,1,99,99,99,-99,-99,-99,300000,99,100000,99,,,98,-99,1,2,1,60,15,60,100,-99,1,-99,35,0,30,-99,-99,1,-99,40,5,50,25,-99,0,-99,,,,,,,,4,2,10,90,25000,5,4,5,5,98,4,3,99,4,3,5,5,1,2,4,1,98,5,2,99,3,3,2,2,7,-99,-99,-99,-99,-99,-99,1,1,1,-99,1,1,1,-99,-99,-99,1,1,1,1,1,-99,-99,-99,1,-99,1,1,-99,-99,1,-99,-99,-99,99200.564954,5094.9849962,-99,2054235.9516,250959.15795,4949711.213,486520.41259,-99,1018009.5342,4954.4035949,-99,810392.14989,245383.92935,1185198.9078,244517.01052,-99,1508892.0505,5129.8349591,-99,808699.62754,247531.68544,996182.53385,321037.53224,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,2,5,1,0,0,0,0,2,4,4,4,1,1,1,1,1,4,9,3,2,4,7,3,1,1854665.0674,2394373.3804,,1,593735.70956,577341.30243,40,1,401210.56329,1,0,1,0,0,1,-99,1,0,1,98,98,1,0,0,0,1,1,-99,,,,,1,-99,1,-99,-99,-99,-99,1,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"$1 million-$9,999,999",0,0,0,1,0,8: Mountain,4: West,HU,HU,0,0,0,1,0,0,,,,,,,0,"2-Non-Urban Core, Non-Rural",0,1,0,"2-Non-Urban Core, Non-Rural",0
R_3ey6XWotj2UV8sf,0,1.320520298,1.3354194352,1,1,6,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,-99,10000,-99,5000,5000,-99,-99,0,1,-99,,0,0,1,1,6,0,0,-99,0,1,1,6,0,0,-99,0,1,1,6,0,0,-99,-99,-99,-99,-99,-99,-99,-99,1,2,0,75,1200,2,3,3,3,3,3,3,2,2,3,3,3,1,3,3,1,3,3,3,1,2,3,4,4,1,1,-99,-99,-99,-99,-99,1,1,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,-99,-99,12103.226717,18283.249674,-99,-99,-99,-99,14797.321908,-99,13977.607388,4469.3690826,-99,-99,-99,-99,10184.379811,-99,11032.23634,1535.9083206,-99,-99,-99,-99,10076.444032,-99,-99,-99,1,1,1,-99,-99,1,5,2,5,1,0,0,0,0,2,3,1,6,98,98,98,2,12,1,12,1,98,98,1,12,1,80697.132112,20062.618242,-99,0,,,,0,,1,0,0,0,1,0,-99,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,-99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"$100,000-$499,999",0,1,0,0,0,5: South Atlantic,3: South,OT,OT,0,0,0,0,1,1,1.4282764196,0,0,0,1,4,1,3-Rural,0,0,1,3-Rural,0
R_3hDZV2Ge1np2kOV,0,0,1.0624727193,0,1,3,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,2,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,1,0,0,0,0,99,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,4051,5,5334,5,-99,-99,1,1,-99,,1,0,3,30,700,0,1,-99,0,0,30,307,0,2,-99,3,1,50,500,-99,3,-99,-99,-99,-99,-99,1,-99,-99,2,1,65,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,"$100,000-$499,999",0,1,0,0,0,2: Mid Atlantic,1: Northeast,HU,HU,0,0,0,1,0,0,0.8681169152,0,1,0,0,2,0,"1-Urban Core, Non-Rural",1,0,0,"1-Urban Core, Non-Rural",0
R_3iKcTau8SJsNGBG,1,0.9232632782,0.9486890865,1,1,4,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,1,-99,-99,1,-99,-99,1,1,1,-99,1,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,13000,1000,7000,8000,,,0,-99,1,2,1,3,-99,8,1,-99,-99,-99,1,1,8,2,-99,-99,-99,1,1,7,4,-99,-99,-99,,,,,,,,3,1,45,55,2500,4,5,3,5,98,5,99,99,3,5,4,2,1,1,3,4,98,2,99,99,4,1,2,2,1,1,1,-99,-99,-99,-99,1,1,1,-99,-99,1,-99,-99,-99,-99,1,1,1,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,1,-99,-99,-99,0,-99,-99,12192.597901,2932.7276862,69368.442894,-99,-99,5058.4713538,-99,-99,26814.238494,3053.722952,83630.145046,-99,-99,2551.8158515,-99,-99,11657.745913,2938.6219345,11892.390575,-99,-99,-99,1,1,-99,-99,-99,1,-99,5,1,5,1,0,0,0,0,4,3,3,3,2,1,1,1,4,1,6,1,1,6,1,6,1,50599.54774,3066.9533688,,1,18397.619094,18029.014626,2,1,18466.998523,0,0,1,0,0,1,-99,0,1,1,0,1,0,1,99,99,1,1,-99,1,0,1,-99,1,-99,-99,-99,-99,-99,-99,1,1,1,-99,0,1,0,0,1,0,1,0,1,-99,0,0,1,0,1,-99,0,0,0,99,99,99,99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,4,2,4,1,3,2,1,1,1,2,1,1,2,1,1,1,4,3,1,1,1,1,1,1,1,,"$100,000-$499,999",0,1,0,0,0,8: Mountain,4: West,OT,OT,0,0,0,0,1,0,0.8887532353,0,1,0,0,2,0,"2-Non-Urban Core, Non-Rural",0,1,0,"2-Non-Urban Core, Non-Rural",0
R_2E0qWWKYZ5p7PNS,0,0,0.7917968734,0,1,7,1,1,1,1,1,1,-99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-99,-99,0,1,1,1,1,1,1,1,1,-99,1,1,1,-99,1,1,1,1,1,1,1,1,-99,1,1,1,1,-99,1,1,1,1,1,1,-99,-99,-99,-99,-99,1,1,98,1,-99,,1,4,2,4,-99,-99,-99,-99,6,2,4,-99,-99,-99,-99,9,2,4,-99,-99,-99,-99,-99,-99,-99,1,1,1,-99,4,1,30,70,1000,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,"$1 million-$9,999,999",0,0,0,1,0,5: South Atlantic,3: South,AR,AR,1,0,0,0,0,0,0.9455709457,0,1,0,0,2,0,"2-Non-Urban Core, Non-Rural",0,1,0,"2-Non-Urban Core, Non-Rural",0
R_1mX8WBwqDQda9Dz,0,0,1.1435936417,0,1,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,1,1,1,1,1,1,1,99,99,99,99,99,99,99,99,99,99,1,1,-99,-99,-99,-99,-99,-99,98,1,-99,,1,4,0,120,50,10,0,-99,3,1,120,50,0,0,-99,5,2,120,50,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,"<$100,000",1,0,0,0,0,9: Pacific,4: West,HU,HU,0,0,0,1,0,0,1.0825242996,0,0,1,0,3,0,"2-Non-Urban Core, Non-Rural",0,1,0,"2-Non-Urban Core, Non-Rural",0
R_28HQ2MHjW9Suqkz,0,0,0.9279972427,0,1,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,2,-99,1,-99,-99,1,-99,1,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,5000,-99,8000,-99,-99,-99,0,-99,1,2,1,15,-99,30,40,0,0,-99,18,-99,30,20,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,3,40,60,1000,5,4,5,-99,-99,4,-99,-99,-99,4,3,-99,1,1,2,-99,-99,1,-99,-99,-99,2,2,-99,1,-99,1,1,-99,-99,-99,1,1,1,1,-99,-99,1,-99,-99,-99,1,1,1,1,1,-99,-99,-99,1,-99,1,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,2,2,1,0,0,0,98,5,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,1,-99,-99,-99,1,20920.851074,0,0,0,0,-99,1,1,1,-99,1,-99,0,1,-99,0,-99,1,-99,-99,1,-99,1,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,"$1 million-$9,999,999",0,0,0,1,0,3: East North Central,2: Midwest,HU,HU,0,0,0,1,0,0,1.0390440226,0,0,1,0,3,0,"1-Urban Core, Non-Rural",1,0,0,"1-Urban Core, Non-Rural",0
R_3NIGtA2aDk9E3qd,1,1.1149291296,1.1356987626,1,1,30,-99,1,-99,-99,1,-99,-99,-99,-99,-99,1,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,-99,-99,1,-99,-99,-99,-99,1,-99,1,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1000,99,150,99,,,0,-99,1,1,1,2,-99,20,-99,-99,-99,-99,1,-99,20,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,2,1,75,25,1000,1,1,1,1,1,1,1,1,99,5,3,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,356.67101843,-99,-99,-99,-99,-99,-99,-99,58.439701142,-99,-99,-99,-99,-99,-99,-99,61.131134444,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,2,5,1,0,0,0,0,6,7,1,5,1,2,10,1,1,-99,2,-99,-99,-99,-99,-99,1,30669.856014,7152.4214532,,0,,,,0,,1,99,1,0,0,1,-99,0,1,1,0,1,0,1,0,1,0,0,99,,,,,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"$100,000-$499,999",0,1,0,0,0,7: West South Central,3: South,OT,OT,0,0,0,0,1,0,1.3082927465,0,0,1,0,3,0,"2-Non-Urban Core, Non-Rural",0,1,0,"2-Non-Urban Core, Non-Rural",0
R_1cTIUJicTDtYdHU,0,0,0.8747293986,0,1,6,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,1,0,0,0,0,1,2,2,0,0,1,0,0,0,0,1,1,0,0,2,-99,250,100,1000,250,-99,-99,98,1,-99,,1,2,1,5,150,2,2,-99,4,0,10,300,0,2,-99,4,0,15,500,0,2,-99,-99,-99,-99,-99,-99,-99,-99,3,3,85,15,500,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,-99,-99,-99,-99,1,1,1,-99,1,-99,-99,-99,-99,-99,1,1,1,-99,-99,-99,-99,-99,1,1,1,-99,-99,-99,1,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,"$100,000-$499,999",0,1,0,0,0,3: East North Central,2: Midwest,OT,OT,0,0,0,0,1,0,0.3301769495,1,0,0,0,1,0,"1-Urban Core, Non-Rural",1,0,0,"1-Urban Core, Non-Rural",1
